ar,kvartal,diagnoskapitel_kod,diagnoskapitel_text,antal,andel,antal_kvinnor,andel_kvinnor,antal_man,andel_man
2005,1,Samtliga,Samtliga,239929,100,153099,100,86830,100
2005,1,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,1210,0.5,669,0.44,541,0.62
2005,1,C00-D48,Tumörer,9156,3.82,6018,3.93,3138,3.61
2005,1,D50-D89,Sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet,589,0.25,377,0.25,212,0.24
2005,1,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",2638,1.1,1624,1.06,1014,1.17
2005,1,F00-F99,Psykiska sjukdomar och syndrom samt beteendestörningar,69525,29,48413,31.6,21112,24.3
2005,1,G00-G99,Sjukdomar i nervsystemet,6255,2.61,3974,2.6,2281,2.63
2005,1,H00-H59,Sjukdomar i ögat och närliggande organ,882,0.37,495,0.32,387,0.45
2005,1,H60-H95,Sjukdomar i örat och mastoidutskottet,1945,0.81,1154,0.75,791,0.91
2005,1,I00-I99,Cirkulationsorganens sjukdomar,10432,4.35,4033,2.63,6399,7.37
2005,1,J00-J99,Andningsorganens sjukdomar,3490,1.45,2164,1.41,1326,1.53
2005,1,K00-K93,Matsmältningsorganens sjukdomar,3784,1.58,2127,1.39,1657,1.91
2005,1,L00-L99,Hudens och underhudens sjukdomar,1679,0.7,1043,0.68,636,0.73
2005,1,M00-M99,Sjukdomar i muskuloskeletala systemet och bindväven,72638,30.3,45597,29.8,27041,31.1
2005,1,N00-N99,Sjukdomar i urin- och könsorganen,1600,0.67,1055,0.69,545,0.63
2005,1,O00-O99,"Graviditet, förlossning och barnsängstid",4098,1.71,4098,2.68,-,-
2005,1,P00-P96,Vissa perinatala tillstånd,32,0.01,20,0.01,12,0.01
2005,1,Q00-Q99,"Medfödda missbildningar, deformiteter och kromosomavvikelser",283,0.12,173,0.11,110,0.13
2005,1,R00-R99,"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras annorstädes",8641,3.6,5926,3.87,2715,3.13
2005,1,S00-T98,"Skador, förgiftningar och vissa andra följder av yttre orsaker",15708,6.55,7634,4.99,8074,9.3
2005,1,U00-U99,Koder för särskilda ändamål,-,-,-,-,-,-
2005,1,V01-Y98,Yttre orsaker till sjukdom och död,108,0.05,66,0.04,42,0.05
2005,1,Z00-Z99,Faktorer av betydelse för hälsotillståndet och för kontakter med hälso- och sjukvården,5350,2.23,3790,2.48,1560,1.8
2005,1,-00--99,Saknas/Okänd,19886,8.29,12649,8.26,7237,8.33
2005,2,Samtliga,Samtliga,218918,100,139060,100,79858,100
2005,2,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,1080,0.49,600,0.43,480,0.6
2005,2,C00-D48,Tumörer,8944,4.09,5823,4.19,3121,3.91
2005,2,D50-D89,Sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet,557,0.25,360,0.26,197,0.25
